"zip","state","county","land_area_in_sqmi","water_area_in_sqmi","median_household_income"
"36912","AL","Choctaw County",139.93,0.13,32629
"36910","AL","Choctaw County",5.64,0,NA
"36916","AL","Choctaw County",29.77,0.7,41944
"36922","AL","Choctaw County",107.17,0.85,37000
"36558","AL","Washington County",244.77,0.23,42500
"36915","AL","Choctaw County",37.15,0,53295
"36436","AL","Clarke County",33.23,0,65402
"36751","AL","Monroe County",93.79,1.6,13409
"36446","AL","Clarke County",4.51,0,24643
"36524","AL","Clarke County",167.23,1.71,30777
"36784","AL","Clarke County",270.75,0.62,37575
"36451","AL","Clarke County",191.78,0.12,29934
"36540","AL","Clarke County",44.2,0.84,42917
"36482","AL","Clarke County",123.27,0.58,8986
"36727","AL","Clarke County",61.39,1.24,9083
"36782","AL","Marengo County",202.38,0.59,37243
"36545","AL","Clarke County",397.6,9.46,26903
"36251","AL","Clay County",144.45,0.72,29844
"36267","AL","Clay County",1.36,0,NA
"35082","AL","Clay County",8.06,0,NA
"35160","AL","Talladega County",340,6.56,32004
"35072","AL","Coosa County",189.46,0.95,28546
"35089","AL","Coosa County",68.89,0.15,26155
"36266","AL","Clay County",178.62,1.02,34207
"36255","AL","Clay County",68.65,0.09,37216
"36256","AL","Tallapoosa County",94.85,0.79,35473
"36258","AL","Clay County",112.61,0.38,44643
"36268","AL","Talladega County",93.86,1.54,38821
"36273","AL","Cleburne County",52.15,0.13,52500
"36269","AL","Cleburne County",44.67,0.03,35703
"36262","AL","Cleburne County",89.5,0.03,36295
"36261","AL","Cleburne County",NA,NA,NA
"36264","AL","Cleburne County",235.8,0.51,33399
"36322","AL","Dale County",62.51,0.12,43015
"36453","AL","Covington County",92.67,0.68,34083
"36079","AL","Pike County",199.15,0.44,37886
"36351","AL","Coffee County",81.13,0.06,38359
"36477","AL","Geneva County",169.29,1.9,25586
"36346","AL","Coffee County",50.23,0,40938
"36010","AL","Pike County",126.79,0.1,29353
"36318","AL","Geneva County",48.48,0.11,44743
"36034","AL","Pike County",58.21,0.08,36250
"36316","AL","Geneva County",49.94,0.32,49405
"36009","AL","Crenshaw County",150.16,0.59,38864
"36330","AL","Coffee County",120.19,0.09,50835
"36323","AL","Coffee County",231.3,0.69,35658
"36467","AL","Covington County",165.55,1.69,36029
"36360","AL","Dale County",180.84,0.39,41725
"35616","AL","Colbert County",210.96,13.95,34519
"35654","AL","Franklin County",142.13,0.56,38032
"35646","AL","Colbert County",93.66,0.41,33545
"35653","AL","Franklin County",143.38,8.13,34217
"35582","AL","Franklin County",88.91,0.57,34447
"35674","AL","Colbert County",189.83,2.5,37586
"35661","AL","Colbert County",55.92,9.62,48865
"35672","AL","Lawrence County",132.19,7.76,42019
"35660","AL","Colbert County",6.45,0.22,34304
"36471","AL","Monroe County",99.28,0.01,19564
"36426","AL","Escambia County",485.94,4.9,31815
"36454","AL","Conecuh County",1.42,0.01,NA
"36460","AL","Monroe County",138.24,0.13,29352
"36401","AL","Conecuh County",456.85,1.24,22131
"36442","AL","Covington County",204.08,1.98,29646
"36473","AL","Conecuh County",6.11,0.02,18333
"36475","AL","Conecuh County",164.44,0.35,32625
"36432","AL","Conecuh County",142.7,0.83,24239
"36421","AL","Covington County",206.91,4.89,40030
"35151","AL","Talladega County",169.8,7.38,45122
"35150","AL","Talladega County",62.97,1.11,32767
"36026","AL","Coosa County",73.69,3.81,65333
"36080","AL","Elmore County",54.12,3.3,45469
"35136","AL","Coosa County",216.11,4.82,36645
"35010","AL","Tallapoosa County",217.59,25.6,37380
"35183","AL","Coosa County",67.53,0.21,48295
"36420","AL","Covington County",265.93,2.34,36213
